,job_title,company_name,experience,when_posted,job_url
30, | IT Recruiter | CMMI Level | Immediate_Joiner | Mumbai,HARJAI COMPUTERS PRIVATE LIMITED,3 to 7 Yrs,"Feb 11, 2021",https://www.shine.com/jobs/job-it-recruiter-cmmi-level-immediate_joiner-mumbai/harjai-computers-private-limited/11229885/
31,Core Java Developer_OSS_Navi Mumbai_Jio,Quess Corp (Magna Infotech),2 to 7 Yrs,"Feb 11, 2021",https://www.shine.com/jobs/core-java-developer_oss_navi-mumbai_jio/quess-corp-magna-infotech/11229479/
32,Hiring for Java Developer,HARJAI COMPUTERS PRIVATE LIMITED,4 to 8 Yrs,"Feb 11, 2021",https://www.shine.com/jobs/hiring-for-java-developer/harjai-computers-private-limited/11229957/
33,Relationship Manger,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 10, 2021",https://www.shine.com/jobs/relationship-manger/reliance-nippon-life-insurance-company-limited/11163999/
34,Sr Java Developer,HARJAI COMPUTERS PRIVATE LIMITED,4 to 7 Yrs,"Feb 10, 2021",https://www.shine.com/jobs/sr-java-developer/harjai-computers-private-limited/11227383/
35,Hiring for Relationship Mgr (Direct Sales) & (Agency Manager) - Life Insurance,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 10, 2021",https://www.shine.com/jobs/hiring-for-relationship-mgr-direct-sales-agency-manager-life-insurance/reliance-nippon-life-insurance-company-limited/11227514/
36,"Relationship Manager (Direct Channel) -Pune,Delhi,Alahabad,varanasi,Mumbai",RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 10, 2021",https://www.shine.com/jobs/relationship-manager-direct-channel-punedelhialahabadvaranasimumbai/reliance-nippon-life-insurance-company-limited/11227554/
37,Product Manager,Quess Corp (Magna Infotech),4 to 9 Yrs,"Feb 09, 2021",https://www.shine.com/jobs/product-manager/quess-corp-magna-infotech/11090373/
38,Manual Tester with Motor Insurance Domain,HARJAI COMPUTERS PRIVATE LIMITED,2 to 5 Yrs,"Feb 09, 2021",https://www.shine.com/jobs/manual-tester-with-motor-insurance-domain/harjai-computers-private-limited/11226404/
39,Hiring for Relationship Manager  for PAN India,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,0 to 5 Yrs,"Feb 09, 2021",https://www.shine.com/jobs/hiring-for-relationship-manager-for-pan-india/reliance-nippon-life-insurance-company-limited/11226819/
40,Opening for Relationship manager (Direct channel sales),RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 08, 2021",https://www.shine.com/jobs/opening-for-relationship-manager-direct-channel-sales/reliance-nippon-life-insurance-company-limited/11224545/
41,Lead Consultant - Regulatory Affairs,Genpact India Pvt. Ltd.,3 to 6 Yrs,"Feb 08, 2021",https://www.shine.com/jobs/lead-consultant-regulatory-affairs/genpact-india-pvt-ltd/11224511/
42,Lead Associate - Regulatory Affairs,Genpact India Pvt. Ltd.,2 to 6 Yrs,"Feb 08, 2021",https://www.shine.com/jobs/lead-associate-regulatory-affairs/genpact-india-pvt-ltd/11223761/
43,Angular Js Developer,HARJAI COMPUTERS PRIVATE LIMITED,3 to 6 Yrs,"Feb 08, 2021",https://www.shine.com/jobs/angular-js-developer/harjai-computers-private-limited/11223498/
44,Relationship Associate-Immediate Joiner,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 08, 2021",https://www.shine.com/jobs/relationship-associate-immediate-joiner/reliance-nippon-life-insurance-company-limited/11224839/
45,L2 Tech Support (Female Only),Quess Corp (Magna Infotech),2 to 5 Yrs,"Feb 08, 2021",https://www.shine.com/jobs/l2-tech-support-female-only/quess-corp-magna-infotech/11225108/
46,Coinsurance - Finance and Accounts - Tata AIG,Tata AIG General Insurance Company Limited,5 to 8 Yrs,"Feb 12, 2021",https://www.shine.com/jobs/coinsurance-finance-and-accounts-tata-aig/tata-aig-general-insurance-company-limited/11231183/
47,Opening for Performance Tester,HARJAI COMPUTERS PRIVATE LIMITED,4 to 6 Yrs,"Feb 06, 2021",https://www.shine.com/jobs/opening-for-performance-tester/harjai-computers-private-limited/11221569/
48,"Principal Consultant, Java Angular",Genpact India Pvt. Ltd.,4 to 7 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/principal-consultant-java-angular/genpact-india-pvt-ltd/11221026/
49,Core Java Developer_Jio_Mumbai,Quess Corp (Magna Infotech),2 to 6 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/core-java-developer_jio_mumbai/quess-corp-magna-infotech/11192168/
50,Associate - Regulatory Affair,Genpact India Pvt. Ltd.,1 to 4 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/associate-regulatory-affair/genpact-india-pvt-ltd/11220487/
51,Technical Associate - Regulatory Affair,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/technical-associate-regulatory-affair/genpact-india-pvt-ltd/11220041/
52,SBI Life Insurance - Development Manager - Agency Channel - Mumbai,SBI Life Insurance Company Limited,0 to 5 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/sbi-life-insurance-development-manager-agency-channel-mumbai/sbi-life-insurance-company-limited/11197761/
53,Business Analyst - Packaging Expert,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/business-analyst-packaging-expert/genpact-india-pvt-ltd/11162768/
54,"Hiring For Agency Channel Sales - Andheri, Chembur & Thane",Exide Life Insurance Company Limited,1 to 4 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/hiring-for-agency-channel-sales-andheri-chembur-thane/exide-life-insurance-company-limited/11220646/
55,Urgent Opening  for Angular js Developer,HARJAI COMPUTERS PRIVATE LIMITED,4 to 8 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/urgent-opening-for-angular-js-developer/harjai-computers-private-limited/11220792/
56,Hiring for Agency Channel & Direct Sales Channel - Life Insurance - SPOT OFFER,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/hiring-for-agency-channel-direct-sales-channel-life-insurance-spot-offer/reliance-nippon-life-insurance-company-limited/11220956/
57,Urgent Hiring for Share point developer,Aditya Birla Management Corporation Pvt. Ltd.,4 to 8 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/urgent-hiring-for-share-point-developer/aditya-birla-management-corporation-pvt-ltd/11220450/
58,Sap Basis Consultant,HARJAI COMPUTERS PRIVATE LIMITED,2 to 5 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/sap-basis-consultant/harjai-computers-private-limited/11219855/
59,Hexaware l Hiring For Customer Service,Hexaware Technologies Ltd,1 to 4 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/hexaware-l-hiring-for-customer-service/hexaware-technologies-ltd/11219996/
60,.Net Developer,HARJAI COMPUTERS PRIVATE LIMITED,7 to 11 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/net-developer/harjai-computers-private-limited/11221172/
61,Opening for React js Developer,HARJAI COMPUTERS PRIVATE LIMITED,3 to 7 Yrs,"Feb 04, 2021",https://www.shine.com/jobs/opening-for-react-js-developer/harjai-computers-private-limited/11217714/
62,Urgent Opening for Angular JS Developer,HARJAI COMPUTERS PRIVATE LIMITED,3 to 5 Yrs,"Feb 04, 2021",https://www.shine.com/jobs/urgent-opening-for-angular-js-developer/harjai-computers-private-limited/11218882/
63,Sales and Relationship Manager,ICICI Bank Ltd,1 to 6 Yrs,"Feb 04, 2021",https://www.shine.com/jobs/sales-and-relationship-manager/icici-bank-ltd/11218436/
64,Team Leader,ICICI Bank Ltd,4 to 9 Yrs,"Feb 04, 2021",https://www.shine.com/jobs/team-leader/icici-bank-ltd/11218686/
65,Urgent requirement for Devops and Docker developer for Mumbai Location,HARJAI COMPUTERS PRIVATE LIMITED,4 to 7 Yrs,"Feb 03, 2021",https://www.shine.com/jobs/urgent-requirement-for-devops-and-docker-developer-for-mumbai-location/harjai-computers-private-limited/11216671/
66,Urgent opening of Angular Developer for Mumbai Location,HARJAI COMPUTERS PRIVATE LIMITED,4 to 9 Yrs,"Feb 03, 2021",https://www.shine.com/jobs/urgent-opening-of-angular-developer-for-mumbai-location/harjai-computers-private-limited/11216268/
67,Senior Relationship Manager,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 03, 2021",https://www.shine.com/jobs/senior-relationship-manager/reliance-nippon-life-insurance-company-limited/11216784/
68,Devops Engineer,HARJAI COMPUTERS PRIVATE LIMITED,7 to 12 Yrs,"Feb 03, 2021",https://www.shine.com/jobs/devops-engineer/harjai-computers-private-limited/11216804/
69,Hr Recruiter,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 02, 2021",https://www.shine.com/jobs/hr-recruiter/reliance-nippon-life-insurance-company-limited/11214742/
70,Key Relationship Manager,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 02, 2021",https://www.shine.com/jobs/key-relationship-manager/reliance-nippon-life-insurance-company-limited/11215133/
71,Relationship Manager- Direct Marketing,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Feb 02, 2021",https://www.shine.com/jobs/relationship-manager-direct-marketing/reliance-nippon-life-insurance-company-limited/11215135/
72,Asp.net Developer,HARJAI COMPUTERS PRIVATE LIMITED,13 to 18 Yrs,"Feb 01, 2021",https://www.shine.com/jobs/aspnet-developer/harjai-computers-private-limited/11212362/
73,Opening for Lead Angular Lead developer for Mumbai Location .(WFO).,HARJAI COMPUTERS PRIVATE LIMITED,7 to 12 Yrs,"Feb 01, 2021",https://www.shine.com/jobs/opening-for-lead-angular-lead-developer-for-mumbai-location-wfo/harjai-computers-private-limited/11212254/
74,Lead Consultant-Automation,Genpact India Pvt. Ltd.,2 to 6 Yrs,"Jan 30, 2021",https://www.shine.com/jobs/lead-consultant-automation/genpact-india-pvt-ltd/11211050/
75,Relationship Manager Business Lending Group(looking for CA freshers),ICICI Bank Ltd,2 to 7 Yrs,"Jan 30, 2021",https://www.shine.com/jobs/relationship-manager-business-lending-grouplooking-for-ca-freshers/icici-bank-ltd/11210701/
76,Opening for Sr. Relationship manager (Direct channel sales),RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,1 to 6 Yrs,"Jan 30, 2021",https://www.shine.com/jobs/opening-for-sr-relationship-manager-direct-channel-sales/reliance-nippon-life-insurance-company-limited/11210447/
77,Urgent Requirement for Legal Manager or Executive (Mumbai),SMC Global Securities Ltd,2 to 7 Yrs,"Jan 30, 2021",https://www.shine.com/jobs/urgent-requirement-for-legal-manager-or-executive-mumbai/smc-global-securities-ltd/11210214/
78,Developer cum support,HARJAI COMPUTERS PRIVATE LIMITED,2 to 5 Yrs,"Jan 30, 2021",https://www.shine.com/jobs/developer-cum-support/harjai-computers-private-limited/11210456/
79,Principal Consultant - Business Analyst,Genpact India Pvt. Ltd.,3 to 8 Yrs,"Jan 29, 2021",https://www.shine.com/jobs/principal-consultant-business-analyst/genpact-india-pvt-ltd/11209442/
80,Manager - EMIR Remediation,Genpact India Pvt. Ltd.,2 to 3 Yrs,"Jan 29, 2021",https://www.shine.com/jobs/manager-emir-remediation/genpact-india-pvt-ltd/11209015/
81,Underwriter - Property & Energy,Tata AIG General Insurance Company Limited,5 to 10 Yrs,"Feb 05, 2021",https://www.shine.com/jobs/underwriter-property-energy/tata-aig-general-insurance-company-limited/11221065/
82,"Urgent requirement for BDM - Sub broking (Mumbai, Pune & Ahmedabad)",SMC Global Securities Ltd,1 to 6 Yrs,"Jan 29, 2021",https://www.shine.com/jobs/urgent-requirement-for-bdm-sub-broking-mumbai-pune-ahmedabad/smc-global-securities-ltd/11209604/
83,ReactJS Developer,HARJAI COMPUTERS PRIVATE LIMITED,2 to 6 Yrs,"Jan 29, 2021",https://www.shine.com/jobs/reactjs-developer/harjai-computers-private-limited/11209457/
84,Channel Sales Manager - Agency Health,Tata AIG General Insurance Company Limited,1 to 6 Yrs,"Feb 04, 2021",https://www.shine.com/jobs/channel-sales-manager-agency-health/tata-aig-general-insurance-company-limited/11217195/
85,Core PHP Developer,HARJAI COMPUTERS PRIVATE LIMITED,4 to 9 Yrs,"Jan 28, 2021",https://www.shine.com/jobs/core-php-developer/harjai-computers-private-limited/11207556/
86,PHP FullStack Developer,HARJAI COMPUTERS PRIVATE LIMITED,4 to 9 Yrs,"Jan 28, 2021",https://www.shine.com/jobs/php-fullstack-developer/harjai-computers-private-limited/11207532/
87,Opening for Customer Service (Fixed Day Shift with Sunday Off),Teleperformance Global Services Pvt Ltd,0 Yrs,"Jan 28, 2021",https://www.shine.com/jobs/opening-for-customer-service-fixed-day-shift-with-sunday-off/teleperformance-global-services-pvt-ltd/11208363/
88,Lead Consultant_Business Analyst,Genpact India Pvt. Ltd.,2 to 4 Yrs,"Jan 27, 2021",https://www.shine.com/jobs/lead-consultant_business-analyst/genpact-india-pvt-ltd/11206321/
89,Senior Manager - Regulatory Affairs,Genpact India Pvt. Ltd.,6 to 7 Yrs,"Jan 27, 2021",https://www.shine.com/jobs/senior-manager-regulatory-affairs/genpact-india-pvt-ltd/11206181/
90,Asp.net core Le,HARJAI COMPUTERS PRIVATE LIMITED,7 to 12 Yrs,"Jan 27, 2021",https://www.shine.com/jobs/aspnet-core-le/harjai-computers-private-limited/11183328/
91,Opening for Dot net Developer and Its permanent Vacancy for Mumbai Location.,HARJAI COMPUTERS PRIVATE LIMITED,10 to 16 Yrs,"Feb 16, 2021",https://www.shine.com/jobs/opening-for-dot-net-developer-and-its-permanent-vacancy-for-mumbai-location/harjai-computers-private-limited/11237434/
92, | Urgent opening of Angular Lead for Mumbai Location,HARJAI COMPUTERS PRIVATE LIMITED,8 to 13 Yrs,"Jan 27, 2021",https://www.shine.com/jobs/job-urgent-opening-of-angular-lead-for-mumbai-location/harjai-computers-private-limited/11205071/
93,Consultant- Data Engineer,Genpact India Pvt. Ltd.,2 to 7 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/consultant-data-engineer/genpact-india-pvt-ltd/11198558/
94,SM_Process_HMS,Genpact India Pvt. Ltd.,7 to 8 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/sm_process_hms/genpact-india-pvt-ltd/11198593/
95,Lead Associate - CMC PA Changes,Genpact India Pvt. Ltd.,2 to 4 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-associate-cmc-pa-changes/genpact-india-pvt-ltd/11199010/
96,Lead Associate - Regulatory affairs,Genpact India Pvt. Ltd.,3 to 4 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-associate-regulatory-affairs/genpact-india-pvt-ltd/11199012/
97,Principal Consultant- SM - Mumbai,Genpact India Pvt. Ltd.,9 to 12 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/principal-consultant-sm-mumbai/genpact-india-pvt-ltd/11199046/
98,Senior Principal Consultant - Java Kafka Architect,Genpact India Pvt. Ltd.,8 to 12 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/senior-principal-consultant-java-kafka-architect/genpact-india-pvt-ltd/11199053/
99,"Principal Consultant, Java",Genpact India Pvt. Ltd.,4 to 7 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/principal-consultant-java/genpact-india-pvt-ltd/11196174/
100,"Lead Consultant, Java",Genpact India Pvt. Ltd.,3 to 7 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-java/genpact-india-pvt-ltd/11194663/
101,Lead Consultant - Regulatory Affairs,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/lead-consultant-regulatory-affairs/genpact-india-pvt-ltd/11196095/
102,Business Analyst - Regulatory Affairs,Genpact India Pvt. Ltd.,3 to 5 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/business-analyst-regulatory-affairs/genpact-india-pvt-ltd/11196098/
103,Consultant - SOX & Internal Audit,Genpact India Pvt. Ltd.,1 to 2 Yrs,"Jan 26, 2021",https://www.shine.com/jobs/consultant-sox-internal-audit/genpact-india-pvt-ltd/11194297/
